x1,x2,y1,y2,Outcome
6,148,72,35,1
1,85,66,29,0
8,183,64,0,1
1,89,66,23,0
0,137,40,35,1
5,116,74,0,0
3,78,50,32,1
10,115,0,0,0
2,197,70,45,1
8,125,96,0,1
4,110,92,0,0
10,168,74,0,1
10,139,80,0,0
1,189,60,23,1
5,166,72,19,1
7,100,0,0,1
0,118,84,47,1
7,107,74,0,1
1,103,30,38,0
1,115,70,30,1
3,126,88,41,0
8,99,84,0,0
7,196,90,0,1
9,119,80,35,1
11,143,94,33,1
10,125,70,26,1
7,147,76,0,1
1,97,66,15,0
13,145,82,19,0
5,117,92,0,0
5,109,75,26,0
3,158,76,36,1
3,88,58,11,0
6,92,92,0,0
10,122,78,31,0
4,103,60,33,0
11,138,76,0,0
9,102,76,37,1
2,90,68,42,1
4,111,72,47,1
3,180,64,25,0
7,133,84,0,0
7,106,92,18,0
9,171,110,24,1
7,159,64,0,0
0,180,66,39,1
1,146,56,0,0
2,71,70,27,0
7,103,66,32,1
7,105,0,0,0
1,103,80,11,0
1,101,50,15,0
5,88,66,21,0
8,176,90,34,1
7,150,66,42,0
1,73,50,10,0
7,187,68,39,1
0,100,88,60,0
0,146,82,0,0
0,105,64,41,0
2,84,0,0,0
8,133,72,0,1
5,44,62,0,0
2,141,58,34,0
7,114,66,0,1
5,99,74,27,0
0,109,88,30,1
2,109,92,0,0
1,95,66,13,0
4,146,85,27,0
2,100,66,20,1
5,139,64,35,0
13,126,90,0,1
4,129,86,20,0
1,79,75,30,0
1,0,48,20,0
7,62,78,0,0
5,95,72,33,0
0,131,0,0,1
2,112,66,22,0
3,113,44,13,0
2,74,0,0,0
7,83,78,26,0
0,101,65,28,0
5,137,108,0,1
2,110,74,29,0
13,106,72,54,0
2,100,68,25,0
15,136,70,32,1
1,107,68,19,0
1,80,55,0,0
4,123,80,15,0
7,81,78,40,0
4,134,72,0,1
2,142,82,18,0
6,144,72,27,0
2,92,62,28,0
1,71,48,18,0
6,93,50,30,0
1,122,90,51,1
1,163,72,0,1
1,151,60,0,0
0,125,96,0,0
1,81,72,18,0
2,85,65,0,0
1,126,56,29,0
1,96,122,0,0
4,144,58,28,0
3,83,58,31,0
0,95,85,25,1
3,171,72,33,1
8,155,62,26,1
1,89,76,34,0
4,76,62,0,0
7,160,54,32,1
4,146,92,0,1
5,124,74,0,1
5,78,48,0,0
4,97,60,23,0
4,99,76,15,0
0,162,76,56,1
6,111,64,39,0
2,107,74,30,0
5,132,80,0,0
0,113,76,0,1
1,88,30,42,1
3,120,70,30,0
1,118,58,36,0
1,117,88,24,1
0,105,84,0,1
4,173,70,14,1
9,122,56,0,1
3,170,64,37,1
8,84,74,31,0
2,96,68,13,0
2,125,60,20,0
0,100,70,26,0
0,93,60,25,0
0,129,80,0,0
5,105,72,29,0
3,128,78,0,0
5,106,82,30,0
2,108,52,26,0
10,108,66,0,1
4,154,62,31,0
0,102,75,23,0
9,57,80,37,0
2,106,64,35,0
5,147,78,0,0
2,90,70,17,0
1,136,74,50,0
4,114,65,0,0
9,156,86,28,1
1,153,82,42,0
8,188,78,0,1
7,152,88,44,1
2,99,52,15,0
1,109,56,21,0
2,88,74,19,0
17,163,72,41,1
4,151,90,38,0
7,102,74,40,0
0,114,80,34,0
2,100,64,23,0
0,131,88,0,1
6,104,74,18,1
3,148,66,25,0
4,120,68,0,0
4,110,66,0,0
3,111,90,12,0
6,102,82,0,1
6,134,70,23,1
2,87,0,23,0
1,79,60,42,0
2,75,64,24,0
8,179,72,42,1
6,85,78,0,0
0,129,110,46,1
5,143,78,0,0
5,130,82,0,1
6,87,80,0,0
0,119,64,18,0
1,0,74,20,0
5,73,60,0,0
4,141,74,0,0
7,194,68,28,1
8,181,68,36,1
1,128,98,41,1
8,109,76,39,1
5,139,80,35,1
3,111,62,0,0
9,123,70,44,0
7,159,66,0,1
11,135,0,0,1
8,85,55,20,0
5,158,84,41,1
1,105,58,0,0
3,107,62,13,1
4,109,64,44,1
4,148,60,27,1
0,113,80,16,0
1,138,82,0,0
0,108,68,20,0
2,99,70,16,0
6,103,72,32,0
5,111,72,28,0
8,196,76,29,1
5,162,104,0,1
1,96,64,27,0
7,184,84,33,1
2,81,60,22,0
0,147,85,54,0
7,179,95,31,0
0,140,65,26,1
9,112,82,32,1
12,151,70,40,1
5,109,62,41,1
6,125,68,30,0
5,85,74,22,1
5,112,66,0,1
0,177,60,29,1
2,158,90,0,1
7,119,0,0,0
7,142,60,33,0
1,100,66,15,0
1,87,78,27,0
0,101,76,0,0
3,162,52,38,1
4,197,70,39,0
0,117,80,31,0
4,142,86,0,1
6,134,80,37,1
1,79,80,25,0
4,122,68,0,0
3,74,68,28,0
4,171,72,0,1
7,181,84,21,1
0,179,90,27,1
9,164,84,21,1
0,104,76,0,0
1,91,64,24,0
4,91,70,32,0
3,139,54,0,1
6,119,50,22,1
2,146,76,35,0
9,184,85,15,1
10,122,68,0,0
0,165,90,33,0
9,124,70,33,0
1,111,86,19,0
9,106,52,0,0
2,129,84,0,0
2,90,80,14,0
0,86,68,32,0
12,92,62,7,1
1,113,64,35,1
3,111,56,39,0
2,114,68,22,0
1,193,50,16,0
11,155,76,28,1
3,191,68,15,0
3,141,0,0,1
4,95,70,32,0
3,142,80,15,0
4,123,62,0,1
5,96,74,18,0
0,138,0,0,1
2,128,64,42,0
0,102,52,0,0
2,146,0,0,1
10,101,86,37,1
2,108,62,32,0
3,122,78,0,0
1,71,78,50,0
13,106,70,0,0
2,100,70,52,0
7,106,60,24,1
0,104,64,23,0
5,114,74,0,0
2,108,62,10,0
0,146,70,0,1
10,129,76,28,0
7,133,88,15,0
7,161,86,0,1
2,108,80,0,1
7,136,74,26,0
5,155,84,44,0
1,119,86,39,1
4,96,56,17,0
5,108,72,43,0
0,78,88,29,0
0,107,62,30,1
2,128,78,37,1
1,128,48,45,1
0,161,50,0,0
6,151,62,31,0
2,146,70,38,1
0,126,84,29,0
14,100,78,25,1
8,112,72,0,0
0,167,0,0,1
2,144,58,33,1
5,77,82,41,0
5,115,98,0,1
3,150,76,0,0
2,120,76,37,0
10,161,68,23,1
0,137,68,14,0
0,128,68,19,1
2,124,68,28,1
6,80,66,30,0
0,106,70,37,0
2,155,74,17,1
3,113,50,10,0
7,109,80,31,1
2,112,68,22,0
3,99,80,11,0
3,182,74,0,1
3,115,66,39,0
6,194,78,0,1
4,129,60,12,0
3,112,74,30,1
0,124,70,20,1
13,152,90,33,1
2,112,75,32,0
1,157,72,21,0
1,122,64,32,1
10,179,70,0,0
2,102,86,36,1
6,105,70,32,0
8,118,72,19,0
2,87,58,16,0
1,180,0,0,1
12,106,80,0,0
1,95,60,18,0
0,165,76,43,0
0,117,0,0,0
5,115,76,0,1
9,152,78,34,1
7,178,84,0,1
1,130,70,13,0
1,95,74,21,0
1,0,68,35,0
5,122,86,0,0
8,95,72,0,0
8,126,88,36,0
1,139,46,19,0
3,116,0,0,0
3,99,62,19,0
5,0,80,32,1
4,92,80,0,0
4,137,84,0,0
3,61,82,28,0
1,90,62,12,0
3,90,78,0,0
9,165,88,0,1
1,125,50,40,1
13,129,0,30,1
12,88,74,40,0
1,196,76,36,1
5,189,64,33,1
5,158,70,0,0
5,103,108,37,0
4,146,78,0,1
4,147,74,25,0
5,99,54,28,0
6,124,72,0,1
0,101,64,17,0
3,81,86,16,0
1,133,102,28,1
3,173,82,48,1
0,118,64,23,0
0,84,64,22,0
2,105,58,40,0
2,122,52,43,0
12,140,82,43,1
0,98,82,15,0
1,87,60,37,0
4,156,75,0,1
0,93,100,39,0
1,107,72,30,0
0,105,68,22,0
1,109,60,8,0
1,90,62,18,0
1,125,70,24,0
1,119,54,13,0
5,116,74,29,1
8,105,100,36,1
5,144,82,26,1
3,100,68,23,0
1,100,66,29,0
5,166,76,0,1
1,131,64,14,0
4,116,72,12,0
4,158,78,0,1
2,127,58,24,0
3,96,56,34,0
0,131,66,40,1
3,82,70,0,0
3,193,70,31,1
4,95,64,0,1
6,137,61,0,0
5,136,84,41,1
9,72,78,25,0
5,168,64,0,1
2,123,48,32,0
4,115,72,0,1
0,101,62,0,0
8,197,74,0,1
1,172,68,49,1
6,102,90,39,0
1,112,72,30,0
1,143,84,23,0
1,143,74,22,0
0,138,60,35,1
3,173,84,33,1
1,97,68,21,0
4,144,82,32,1
1,83,68,0,0
3,129,64,29,1
1,119,88,41,0
2,94,68,18,0
0,102,64,46,0
2,115,64,22,0
8,151,78,32,1
4,184,78,39,1
0,94,0,0,0
1,181,64,30,1
0,135,94,46,0
1,95,82,25,1
2,99,0,0,0
3,89,74,16,0
1,80,74,11,0
2,139,75,0,0
1,90,68,8,0
0,141,0,0,1
12,140,85,33,0
5,147,75,0,0
1,97,70,15,0
6,107,88,0,0
0,189,104,25,1
2,83,66,23,0
4,117,64,27,0
8,108,70,0,1
4,117,62,12,1
0,180,78,63,1
1,100,72,12,0
0,95,80,45,0
0,104,64,37,1
0,120,74,18,0
1,82,64,13,0
2,134,70,0,1
0,91,68,32,0
2,119,0,0,0
2,100,54,28,0
14,175,62,30,1
1,135,54,0,0
5,86,68,28,0
10,148,84,48,1
9,134,74,33,0
9,120,72,22,0
1,71,62,0,0
8,74,70,40,0
5,88,78,30,0
10,115,98,0,0
0,124,56,13,0
0,74,52,10,0
0,97,64,36,0
8,120,0,0,1
6,154,78,41,0
1,144,82,40,0
0,137,70,38,0
0,119,66,27,0
7,136,90,0,0
4,114,64,0,0
0,137,84,27,0
2,105,80,45,1
7,114,76,17,0
8,126,74,38,0
4,132,86,31,0
3,158,70,30,1
0,123,88,37,0
4,85,58,22,0
0,84,82,31,0
0,145,0,0,1
0,135,68,42,1
1,139,62,41,0
0,173,78,32,0
4,99,72,17,0
8,194,80,0,0
2,83,65,28,0
2,89,90,30,0
4,99,68,38,0
4,125,70,18,1
3,80,0,0,0
6,166,74,0,0
5,110,68,0,0
2,81,72,15,0
7,195,70,33,1
6,154,74,32,0
2,117,90,19,0
3,84,72,32,0
6,0,68,41,1
7,94,64,25,0
3,96,78,39,0
10,75,82,0,0
0,180,90,26,1
1,130,60,23,0
2,84,50,23,0
8,120,78,0,0
12,84,72,31,1
0,139,62,17,0
9,91,68,0,0
2,91,62,0,0
3,99,54,19,0
3,163,70,18,1
9,145,88,34,1
7,125,86,0,0
13,76,60,0,0
6,129,90,7,0
2,68,70,32,0
3,124,80,33,0
6,114,0,0,0
9,130,70,0,1
3,125,58,0,0
3,87,60,18,0
1,97,64,19,0
3,116,74,15,0
0,117,66,31,0
0,111,65,0,0
2,122,60,18,0
0,107,76,0,0
1,86,66,52,0
6,91,0,0,0
1,77,56,30,0
4,132,0,0,1
0,105,90,0,0
0,57,60,0,0
0,127,80,37,0
3,129,92,49,1
8,100,74,40,1
3,128,72,25,1
10,90,85,32,1
4,84,90,23,0
1,88,78,29,0
8,186,90,35,1
5,187,76,27,1
4,131,68,21,0
1,164,82,43,0
4,189,110,31,0
1,116,70,28,0
3,84,68,30,0
6,114,88,0,0
1,88,62,24,0
1,84,64,23,0
7,124,70,33,0
1,97,70,40,0
8,110,76,0,0
11,103,68,40,0
11,85,74,0,0
6,125,76,0,1
0,198,66,32,1
1,87,68,34,0
6,99,60,19,0
0,91,80,0,0
2,95,54,14,0
1,99,72,30,0
6,92,62,32,0
4,154,72,29,0
0,121,66,30,1
3,78,70,0,0
2,130,96,0,0
3,111,58,31,0
2,98,60,17,0
1,143,86,30,0
1,119,44,47,0
6,108,44,20,0
2,118,80,0,1
10,133,68,0,0
2,197,70,99,1
0,151,90,46,1
6,109,60,27,0
12,121,78,17,0
8,100,76,0,0
8,124,76,24,1
1,93,56,11,0
8,143,66,0,1
6,103,66,0,0
3,176,86,27,1
0,73,0,0,0
11,111,84,40,1
2,112,78,50,0
3,132,80,0,1
2,82,52,22,0
6,123,72,45,0
0,188,82,14,1
0,67,76,0,0
1,89,24,19,0
1,173,74,0,1
1,109,38,18,0
1,108,88,19,0
6,96,0,0,0
1,124,74,36,0
7,150,78,29,1
4,183,0,0,1
1,124,60,32,0
1,181,78,42,1
1,92,62,25,0
0,152,82,39,0
1,111,62,13,0
3,106,54,21,0
3,174,58,22,1
7,168,88,42,1
6,105,80,28,0
11,138,74,26,1
3,106,72,0,0
6,117,96,0,0
2,68,62,13,0
9,112,82,24,1
0,119,0,0,1
2,112,86,42,0
2,92,76,20,0
6,183,94,0,0
0,94,70,27,0
2,108,64,0,0
4,90,88,47,0
0,125,68,0,0
0,132,78,0,0
5,128,80,0,0
4,94,65,22,0
7,114,64,0,1
0,102,78,40,0
2,111,60,0,0
1,128,82,17,0
10,92,62,0,0
13,104,72,0,1
5,104,74,0,0
2,94,76,18,0
7,97,76,32,1
1,100,74,12,0
0,102,86,17,0
4,128,70,0,0
6,147,80,0,1
4,90,0,0,0
3,103,72,30,0
2,157,74,35,0
1,167,74,17,1
0,179,50,36,1
11,136,84,35,1
0,107,60,25,0
1,91,54,25,0
1,117,60,23,0
5,123,74,40,0
2,120,54,0,0
1,106,70,28,0
2,155,52,27,1
2,101,58,35,0
1,120,80,48,0
11,127,106,0,0
3,80,82,31,1
10,162,84,0,0
1,199,76,43,1
8,167,106,46,1
9,145,80,46,1
6,115,60,39,1
1,112,80,45,0
4,145,82,18,1
10,111,70,27,1
6,98,58,33,0
9,154,78,30,0
6,165,68,26,0
1,99,58,10,0
10,68,106,23,0
3,123,100,35,0
8,91,82,0,0
6,195,70,0,1
9,156,86,0,1
0,93,60,0,0
3,121,52,0,1
2,101,58,17,0
2,56,56,28,0
0,162,76,36,1
0,95,64,39,0
4,125,80,0,1
5,136,82,0,0
2,129,74,26,0
3,130,64,0,0
1,107,50,19,0
1,140,74,26,0
1,144,82,46,1
8,107,80,0,0
13,158,114,0,1
2,121,70,32,0
7,129,68,49,1
2,90,60,0,0
7,142,90,24,1
3,169,74,19,1
0,99,0,0,0
4,127,88,11,0
4,118,70,0,0
2,122,76,27,0
6,125,78,31,1
1,168,88,29,1
2,129,0,0,0
4,110,76,20,0
6,80,80,36,0
10,115,0,0,1
2,127,46,21,0
9,164,78,0,1
2,93,64,32,1
3,158,64,13,0
5,126,78,27,0
10,129,62,36,1
0,134,58,20,0
3,102,74,0,0
7,187,50,33,1
3,173,78,39,1
10,94,72,18,0
1,108,60,46,0
5,97,76,27,1
4,83,86,19,0
1,114,66,36,0
1,149,68,29,1
5,117,86,30,0
1,111,94,0,0
4,112,78,40,0
1,116,78,29,0
0,141,84,26,0
2,175,88,0,0
2,92,52,0,0
3,130,78,23,1
8,120,86,0,1
2,174,88,37,1
2,106,56,27,0
2,105,75,0,0
4,95,60,32,0
0,126,86,27,0
8,65,72,23,0
2,99,60,17,0
1,102,74,0,1
11,120,80,37,1
3,102,44,20,0
1,109,58,18,0
9,140,94,0,1
13,153,88,37,0
12,100,84,33,0
1,147,94,41,1
1,81,74,41,0
3,187,70,22,1
6,162,62,0,1
4,136,70,0,1
1,121,78,39,0
3,108,62,24,0
0,181,88,44,1
8,154,78,32,1
1,128,88,39,1
7,137,90,41,0
0,123,72,0,1
1,106,76,0,0
6,190,92,0,1
2,88,58,26,0
9,170,74,31,1
9,89,62,0,0
10,101,76,48,0
2,122,70,27,0
5,121,72,23,0
1,126,60,0,1
1,93,70,31,0
